group_id	last_download_date
111794591	2022-05-02
124530422	2022-05-02
159071871	2022-05-02
186896272	2022-05-02
190807581	2022-05-02
33500997	2002-05-02
37814238	2022-05-02
40568912	2002-05-02
76405869	2022-05-02
79776207	2022-05-02
95716814	2022-05-02
96670880	2022-05-02
